Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
03/24/2015,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,"I agreed to a settlement arrangement on a account with a rep which I believe was name XXXX on XXXX/XXXX/2015 the settlement was for XXXX, the rep advised that he had to get it approved because it was less than XXXX %, I requested proof of the settlement ( letter/email/fax ) stating that we were agreeing to settle the account. I was advised that it could be requested from the main office and given contact information. I attempted to contact the company and keep being routed to a voicemail system. I then attempted to contact XXXX on XXXX/XXXX/2015 at XXXX and again at XXXX and was repeated sent to a voice message system on the last attempt I spoke with a women who took a message. I received a call back at XXXX, it was a missed call for me because I was at work. I attempted back on XXXX/XXXX/2015 and got a rep that I tried to ask for assist with get a letter showing the agreement that we had decided on and she blind transferred me a male by the name of XXXX XXXX who then basically screamed on the phone that since I requested proof of settlement offer that the offer was off the table and that I needed to pay what I owed or else. I tried to explain that I just needed proof for my records and he keep yelling over me I asked for a manager and he said that he was the manager and that I could n't speak with anyone higher and then hung up. I called back to get a new rep and he answer and hung up at XXXX I tried calling back again at XXXX and XXXX and no one answered the telephone. I then search on line to see what company this was and called another XXXX number and a woman by the name of XXXX XXXX answered and listen to the issue and placed me on hold the line was then picked up by a XXXX XXXX and he just yelled into the telephone what do you want and I was surprised that I had been transferred and was like huh, he said you called here what do you want, I advised that I would try call XXXX XXXX back and he hung up. I did call her back and ask could she just send me a letter of review the process and she advised that she could n't help because I was not her rep. I asked for the owner and was advised the he was out but she did give his name a different XXXX XXXX than I spoke with and sais she would give him the message for request for a return call. I then got a call from XXXX from a gentleman that did n't provide his name but basically stated "" they will not settle with me now since I want them to jump through hops '' by asking for a letter of the arrangement of settlement. Then he disconnected the call. I am only requesting the settlement letter because that would be my only proof that the account was settled and its shows in writing what we agreed to. I expressed several times that I did n't want to make a payment and then someone else tries to come after me for the remaining balance. I have no way of ensuing that this company honors the agreement if I can get something showing that we are agreeing. 
",,MS Services LLC,TN,381XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,No,1297589
03/24/2015,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,"Green Tree Financial somehow got XXXX Loan AFTER bankruptcy ( 2009 ) and has REFUSED TO REMOVE IT FROM MY CREDIT REPORT. The Credit Bureaus REFUSE to remove this information as well. I 've sent Certified Mail several times. The "" non-payment '' history is impacting my credit negatively. 
",,Ditech Financial LLC,CA,926XX,,Consent provided,Web,03/24/2015,Closed with non-monetary relief,Yes,No,1297594
03/24/2015,Payday loan,Payday loan,Can't stop charges to bank account,Can't stop charges to bank account,"I took out a Loan from Cash Central XXXX, Al for {$300.00} sense that time I lost my job and also my medications went through the roof so I was unable to pay the Loan back. Every sense that time I have been receiving phone calls everyday. Not a day pass they are calling me and they always call from a different number so I never know who it is calling. They have caused me to pay out so much money at my Bank, at the time my Bank was XXXX XXXX in XXXX, Al. They have caused me to pay out hundreds of dollars in overdraft fees, money that I could have paid them with but they would not stop trying to debit my account. They call every day starting at around XXXX I am telling them the same thing each time they call me that I do not have any money to pay them now if I did have the money I would pay them each month until I paid them up but until my income increase I am not able to pay them. I am on a fix income and I can not pay them now and I can not tell you when I can pay because I do n't know my self. I am so tired of the harassing phone calls I am on XXXX and XXXX and every day it gets worse and worse and I ca n't keep putting up with them calling every day like this it works on my nerves and it up sets me really bad. I told XXXX people that call me that I would try to pay something next month and she screamed at me and said next month, why next month? I told her I had to see how my bills would run and I could not give her and amount so to how much I can pay. I know even if I could pay them it would not be more than {$4.00} or {$5.00} dollars if that much. They just keep calling and calling every day. They have been doing this for the pass 6 or 7 months and I ca n't take it any longer. My nerves are to bad and they runs my XXXX XXXX up by calling every day. If they were to slow down the calls except to may be once a month then that would be helpful a little but I still do n't know if I would have any money to pay them even then. I can try if I have any money left but I seriously doubt it not right now until my bills comes down. I am paying high bills right now and it is taking all of my money to just keep my house going so that I can have some where to live. It 's not that I do n't want to pay them but I do not have the money now. They ruined my Bank account and I had to close it because of all the over draft fees the Bank was charging me. Each day they sent the debit through for the {$300.00} and some dollars and every day the Bank charged me {$38.00} per transaction, I paid out a lot of money to the Bank for these transactions, money they could have had if they would not have kept trying to debit my account. I am so tired of this and I do n't know nothing else to do except not answer the phone but If I did that I could miss important phone calls from other people I need to talk to. I am just tired of the harassing phone calls. This is not good for my illness. Regardless of what I say to them they still call every day. I just want the calls to stop. I will pay something when ever I can. 
",Company chooses not to provide a public response,"Community Choice Financial, Inc.",AL,351XX,Older American,Consent provided,Web,03/24/2015,Closed with explanation,Yes,No,1299258
03/24/2015,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,"I filed ChapterXXXX bankruptcy on my accounts in 2005, which I 'm NOT of proud ; but during this BAD TIME I lost a high paying job and got divorced, which left me no other choice but to file!!! Then 9.5 years later after I am finally getting my life back on track a collection company sends me a THREAT letter that I need to pay on an account included in my bankruptcy, and I have PROOF of this. I called them and they say they will clear this up, but since they did n't ask for PROOF even though I offered CASE # and Amount paid just to prove myside, but got worried that I offered more than they asked for. I want to make sure I 'm NOT BRING SCAMMED - Thank You for your help!! 
",,JPMorgan Chase & Co.,NE,681XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,Yes,1297609
03/24/2015,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,"To whom it may concern, To those that follow the markets you might know that XXXX interest rates will rise over the next few years. But if you 're not aware of financial trends, a 1 year adjustable mortgage might sound tempting but it is utterly foolish since such a mortgage will only get more expensive over the next few years. Hence my surprise when XXXX sent me offer to swap my 30 year fixed rate mortgage for a 1 year adjustable mortgage based on the XXXX. Are we going to get into the same mess that brought ruin to both XXXX XXXX and XXXX XXXX XXXX years ago? Why is XXXX offering products that they know are not in the best interests of consumers? Please ask XXXX why they think this is a good offer? Why are they not offering me a 30 year fixed mortgage refinance? 
",,Morgan Stanley,CA,944XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,No,1297626
03/24/2015,Bank account or service,Checking account,Using a debit or ATM card,,"I 'm no longer an account holder of SunTrust. I used to be until I realized how unethical of a company that is. Let me explain to you why I believe this : For years, SunTrust advertised and promoted in big letters their XXXX XXXX debit card. With that card, an account holder could earn XXXX mile for every {$1.00} spent ( for debit and credit card transactions ). SunTrust even advertised that they would not put a cap on a cardholder 's ability to earn miles. 

Over the past XXXX months, SunTrust must have reviewed their debit card portfolio and what they did as a result of their review is shocking : They closed all account holders who had earned above average number of miles regardless of the types of products they purchased, regardless of the length of their relationship with SunTrust, and regardless of the amount of money in their checking accounts. I know of at least XXXX cases where SunTrust contacted XXXX XXXX to have the miles in the cardholder 's account reversed!!! 

SunTrust is clearly engaging in what is commonly referred to as "" bait and switch '', a marketing strategy of getting customers to sign up for a product ( that, by the way, carries a yearly fee of {$75.00} ) and then, once a certain number of miles are earned, the account is closed. This is unacceptable and a regulatory violation. 

If SunTrust does not immediately stop closing accounts and reversing miles already earned, I 'll notify a well-known XXXX XXXX lawfirm to pursue a class action lawsuit against SunTrust and its XXXX and XXXX individually. 
",Company chooses not to provide a public response,"SunTrust Banks, Inc.",FL,334XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,No,1297629
03/24/2015,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,"I 've been receiving numerous robocalls, hang-ups and a few calls where caller does n't ID themselves, where they 're calling from, who they are and the nature of their call. These calls are fro Amex, XXXX, XXXX XXXX. I 've been saving the calls on my cell phone. I finally sent out cease and desist letters but now XXXX XXXX XXXX has begun calling. I 'll be sending them a letter as well tomorrow -- certified/return receipt requested. 

American Express XXXX XXXX XXXX at XXXX XXXX, XXXX XXXX at XXXX XXXX. XXXX XXXX at XXXX XXXX, XXXX XXXX at XXXX XXXX. 
XXXX XXXX XXXX at XXXX XXXX did n't ID where calling from, XXXX XXXX at XXXX XXXX, XXXX XXXX at XXXX XXXX, XXXX XXXX at XXXX XXXX & XXXX XXXX did n't ID where calling from. 
XXXX XXXX XXXX XXXX XXXX at XXXX XXXX & XXXX XXXX, XXXX XXXX at XXXX XXXX & XXXX XXXX, XXXX XXXX at XXXX XXXX, XXXX XXXX at XXXX XX/XX/XXXX at XXXX XXXX, XXXX XXXX at XXXX XXXX. 
XXXX XXXX XXXX XXXX XXXX at XXXX XXXX, XXXX XXXX at XXXX XXXX, XXXX XXXX at XXXX XXXX, XXXX XXXX at XXXX XXXX, XXXX XXXX at XXXX XXXX & XXXX XXXX & XXXX XXXX, XXXX XXXX XXXX & XXXX XXXX & XXXX XXXX, XXXX XXXX at XXXX XXXX & XXXX XXXX, XXXX XXXX at XXXX XXXX & XXXX XXXX. 

These are just the calls that I kept track of. Most are robocalls and since this is a cell phone under the XXXX government cell phone plan, I do not appreciate it. I am filing for bankruptcy and these people call 3-4 times a day? 
",,Amex,CT,064XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,No,1297377
03/24/2015,Mortgage,VA mortgage,"Loan servicing, payments, escrow account",,"My mortgage servicer, Wells Fargo, did not give me a monthly statement in XXXX 2015 nor thus far in XXXX 2015. I never received a coupon booklet either. 
",,Wells Fargo & Company,TX,770XX,Servicemember,Consent provided,Web,03/24/2015,Closed with explanation,Yes,No,1297644
03/24/2015,Credit reporting,,Incorrect information on credit report,Account status,"Please investigate the practices of Experian. They have manipulated my credit report and score. They are unresponsive and vague. My score has recently dropped XXXX points yet no one is able to give me a consistent answer as to what has happened. I have filed several disputes and they remain unresolved in addition I have cancelled my monitoring service. 2 days before the cancellation I was notified my score dropped XXXX points. I pay my credit card balances in full every month and I do not have any late payments that are undisputed. In addition, they are allowing a creditor to continue to "" update '' information that is 15 years old. I have made XXXX calls and spoke with a manager "" XXXX '' who all provided me with inconsistent and unverified information. I am exhausted with the run around, the responses I receive from Experian are. '' We do n't know '', "" Probably '', "" Contact the lender '', "" It will take 30 days for a response '' I am in need of assistance from a governing agency above and beyond Experian and again I want a complete review into the very suspicious dramatic decline of my credit score upon cancellation of my subscription service. That is key information and I am willing to contact local media to investigate this company. In addition, it is my concern that this action is discriminatory. PLEASE contact me ASAP, I have been caught in this cycle for over a year and I have pending important matters that I need to take care of that involve my credit. Time is of the essence, I need to bring attention to and STOP this FRAUDULENT behavior. 
",Company chooses not to provide a public response,Experian,CA,900XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,No,1297500
03/24/2015,Debt collection,I do not know,Disclosure verification of debt,Not disclosed as an attempt to collect,"Portfolio Recovery does not disclose who is calling or why. Only after looking the phone number up online did I discover that they were a collection agency. 

They are also trying to collect on debt that is past its statute of limitations. 
",,"Portfolio Recovery Associates, Inc.",WA,980XX,,Consent provided,Web,03/25/2015,Closed with non-monetary relief,Yes,No,1297662
03/24/2015,Bank account or service,Checking account,"Account opening, closing, or management",,"After banking with Citibank for over 3 years, I discovered this evening that I could not use my debit card despite having a Citibank verified balance of {$900.00}. When I called Citibank, I was informed that the Texas branches had been bought by XXXX XXXX XXXX and as such, they, Citibank, could not allow access to my account. I was told I was notified of this via mail, though no certified letter or any correspondence showing I had received notification could be provided. Upon speaking to a supervisor, no remedy was available other than talk to the new bank tomorrow. I do n't feel I am overstating to say that this "" customer service '' is tantamount to theft. Citibank allowed me to deposit my entire paycheck into my account 3 days ago on Friday, and on Monday denied me any access to my money! Like many Americans, I pay for most everything by debit card and rarely carry cash. How can a bank hold a persons money hostage, with no explanation other than I 'm sorry but we sent out letters? Ridiculous! 
",,Citibank,TX,797XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,No,1297676
03/24/2015,Debt collection,Auto,False statements or representation,Attempted to collect wrong amount,"I am a victim of a parked debt bought by a debt collection company. The problem is the company is reporting the debt as open recently, it 's not. This is illegal and that 's the reason for my complaint. 
",,"Accelerated Financial Solutions, LLC",NV,891XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,Yes,1297316
03/24/2015,Credit card,,Identity theft / Fraud / Embezzlement,,"I have been a XXXX XXXX XXXX for 4.5 years and my identity was stolen last year. The thieves obtained a credit card from Barclay which they used to rent and steal cars XXXX miles away in XXXX California. I have provided tips to law enforcement, leading to seizures of some of the thieves ' equipment, and the police have video surveillance and XXXX suspects in custody, caught in a stolen vehicle with many fraudulent IDs, including some for me. I have provided this information and the police report to Barclay and XXXX in multiple disputes since XXXX. I recently mailed a dispute to Barclay and requested all documents relating to this account, including a list of all charges and payments made, all investigative findings, when they contacted the law enforcement contacts I provided, and how and when they verified any and all information, as is my right under the FCRA. However, they have refused to provide me this information and are thus in willful noncompliance with the FCRA. 
",Company chooses not to provide a public response,Barclays PLC,CA,940XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,Yes,1297327
03/24/2015,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,"I noticed an incorrect item when I received free credit report from Transunion. I contacted data provider ( XXXX XXXX ) immediately and data provider resolved the issue after reviewing the facts. Data provider notified me that data provider will take care of notifying to credit reporting agencies including Transunion. I called Data provider to verify and confirm that they have notified credit reporting agencies and data provider confirmed that all data has been updated with credit reporting agencies. I did not get any notification or revised free credit report from Transunion even after filing dispute with them. But another credit reporting agency, XXXX resolved the issue as soon as data provider resolved the issue. 

Transunion did not take any action on this even after I disputed this specific item online using their website XXXX 
1. I expected notification or revised free credit report from Transunion after incorrect information has been corrected. This did not happen. 
2. I expected an email notification from Transunion after I disputed this item. There is no notification from Transunion. 
3. I am checking the status online daily few times and do n't see any kind of update except that their target date is sometime in XXXX. 

When data provider and another credit reporting agency XXXX XXXX XXXX confirmed that they resolved these issues, why is Transunion not taking any action and why are they ignoring my requests or service provider updates? 

I hope practices of these credit reporting agencies will be reviewed and their standards will be improved to ensure that customer information is kept up-to-date with data providers. There is no need to waste consumers time for data synchronization issues between credit reporting agencies and data providers. I am hoping that Transunion will review data from data provider and take prompt action on this matter. It is really frustrating consumer experience dealing with issues like these that should have never occurred. 
",,"TransUnion Intermediate Holdings, Inc.",HI,968XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,Yes,1297382
03/24/2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,"I find this medical debt reported on my credit report, but I do not remember ever owing a bill with a remaining balance of {$7.00}. It looks like the company dated the opening of this debt XX/XX/2010. I looked for the collection company on line, but it is as though it does n't exist. It appears to have impact on my credit score. I am willing to pay it if I could get an itemized bill showing the date of the procedure and when and what my medical insurance company reports about it. Also, if the company no longer exist, IT WILL NEED TO BE REMOVE FROM MY CREDIT REPORT. My complaint is that this company has not sent me a bill showing the details of my so called debt, but has reported to the credit bureau that I owe this debt. This is harming my credit score and it is not making it 's contact information available to me. How am I to clear up my credit report if this company does n't exist, but they have reported that I owe a debt that I have no explanation for? 
",Company chooses not to provide a public response,"Healthcare Collections-I, LLC",AZ,860XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,No,1297685
03/24/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"I paid off my mortgage with XXXX Mortgage Service Center. The payoff funds were sent overnight mail by the title agent on XXXX XXXX, XX/XX/XXXX and posted on XXXX XXXX, XX/XX/XXXX. Since the payoff amount of {$200000.00} was valid through XXXX XXXX, XX/XX/XXXX, I paid an extra day 's interest of {$25.00}. My escrow account balance was {$1300.00}, therefore my refund should have been {$1400.00}. The check I received from XXXX Mortgage Service Center was for {$1000.00} dated XXXX XXXX, XX/XX/XXXX. This amount is incorrect. Due to a separate complaint issue I filed with the CFPB regarding XXXX Mortgage Service Center earlier this year, XXXX separately agreed to refund a paid processing fee of {$370.00} for a release of liability processing fee I paid which had nothing to do with my escrow balance ( separate account : escrow account versus paid fee ). Since XXXX Mortgage Service Center could not process my release of liability request timely and requested documents not applicable to my specific situation because of my recorded oral stipulation for divorce and recorded quick claim deed ( validating no financial exchange and my need to refinance ), I elected to finally refinance with another lender due to the multiple servicing issues I had experienced with XXXX Mortgage Service Center. This is the primary reason why I refinanced with another lender ; simple processing tasks for some reason were not handled properly by XXXX Mortgage Service Center. Although I spoke to several XXXX employee 's during this process ; they really just do n't seem to truly understand the process being conducted. 
",,HSBC North America Holdings Inc.,NY,141XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,No,1299207
03/24/2015,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,"I received a letter from Penn Credit Collection agency dated XXXX XXXX, XXXX. 
The letter saying I owed {$56.00} for a parking ticket ( XXXX ) from XXXX XXXX, XXXX to the city of XXXX. 

I had paid the ticket in full in XXXX XXXX to a collection agency called XXXX XXXX XXXX, XXXX with USPS money order ( receipt number XXXX ) in the amount of {$56.00}. 

The amount I paid in XXXX is {$56.00} is the same ticket number XXXX from XXXX XXXX. 

I am not sure why Penn Credit is trying to make me pay for a ticket I 've paid for almost three years ago in full. 
",Company believes it acted appropriately as authorized by contract or law,Penn Credit Corporation,FL,330XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,No,1297371
03/24/2015,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,"This gentleman called me and asked for personal information without disclosing who he is or what it is he wants. Did not tell me which company he was calling from or who he was representing and would not say so until I gave him my personal information. 

The reason I know the name of the company and what they do is because I got their number and returned the phone call where they said the name of their business on answering the phone and then looked them up on the internet. 
",Company believes it acted appropriately as authorized by contract or law,"Client Services, Inc.",NC,274XX,,Consent provided,Web,03/24/2015,Closed with non-monetary relief,Yes,No,1297758
03/24/2015,Bank account or service,Other bank product/service,Deposits and withdrawals,,"On XXXX XXXX I went to the Citizens Bank on XXXX XXXX, in XXXX, MA and gave my son 's bank information in XXXX and wired {$200000.00} to XXXX do XXXX, where my son has a checking account. ( My son lives in XXXX ) On XXXX XXXX, I 've realized there was a mistype in the XXXX he gave to me. I called the Citizens Bank Wire Department and was able to fix the number and they told me the money would be available in XXXX on XXXX XXXX. 
Until XXXX XXXX XXXX, the money has not arrived in my son 's checking account in XXXX, but left my account on XXXX XXXX. 
I 've called Citizens Wire Department many times and they told me the money was transferred to XXXX XXXX XXXX and that XXXX XXXX XXXX would be responsible for that wire transfer. 
I 've asked if they could trace the money since it 's been more than 2 weeks, they ca n't. XXXX XXXX XXXX is the bank responsible for that and if XXXX XXXX XXXX has not called them to say something went wrong, they do n't communicate with XXXX XXXX XXXX, they assume everything went well. Although I 've been calling to let them know it has not. 
They also told me I could start a process to get my money back in my checking account with Citizens but I would lose the fees I 've paid for the wire transfer to be made. 
I just want to find out what happened to the money. Even if there was something wrong I should have gotten a phone call or something.. This is not the way a Bank should treat a client/customer who trusted the Bank. This is disrespectful! 
Another thing, they should clear state to the customers they are NOT allowed to do International Transactions and that their money is going to be transferred to another Bank for the transaction to be complete. 
I 've got all the dates and time I 've called the Wire Department at XXXX XXXX - XXXX ( XXXX XXXX XXXX XXXX minutes on the phoneXXXX XXXX - XXXX USA - XXXX minutes on the phoneMarch XXXX - Director of Bank - XXXX minutes on the phoneMarch XXXX - XXXX - XXXX minutes on the phoneXXXX XXXX - XXXX ( that day finally the lady told me they 've started a trace and someone would give me a call ) XXXX XXXX - One of their employees finally called ( XXXX XXXX ) but until that day they did n't know what happened to my money. 
I just want Citizens Bank to be responsible for the deal I 've lost in my country - that money was supposed to buy a condo and, of course, I lost the deal! 
I want Citizens Bank to trace all my phone calls ( They 've been recorded ) and try to figure out WHY their employees did n't take an action on XXXX/XXXX/15 when I made the XXXX phone call to complain about a delay ... They should know better. 
I used to work for the XXXX XXXX XXXX XXXX and they call their customers because a {$1.00} coffee. What about Citizens? what do they do for their costumers? 
I would appreciate someone to please investigate this case and force Citizens Bank to improve the way they treat their costumers and solve situation. 

Sincerely, XXXX 
",,"Citizens Financial Group, Inc.",MA,021XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,No,1297773
03/24/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"This company continues to report on my credit report after I sent them a letter telling them that this account was not mine and I have no idea what it is or who it belongs to! 

I asked for proof of a signed contract, I asked for a license to collect in my state, I asked for copies of all information referenced for this debt and still to date, I have not received anything but harassment from this company! 

THIS IS NOT MY DEBT! 

I WANT THIS ACCOUNT REMOVED FROM MY CREDIT REPORT AND THIS COMPANY TO STOP CONTACTING ME IMMEDIATELY! 
",,Credit Bureau of Napa,LA,700XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,No,1297783
03/24/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"This company continues to report on my credit report after I sent them a letter telling them that this account was not mine and I have no idea what it is or who it belongs to! 

I asked for proof of a signed contract, I asked for a license to collect in my state, I asked for copies of all information referenced for this debt and still to date, I have not received anything but harassment from this company! 

THIS IS NOT MY DEBT! 

I WANT THIS ACCOUNT REMOVED FROM MY CREDIT REPORT AND THIS COMPANY TO STOP CONTACTING ME IMMEDIATELY! 
",,R & B Corporation of Virginia,LA,700XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,No,1297784
03/24/2015,Credit reporting,,Incorrect information on credit report,Account status,"I received my auto insurance policy renewal, after reviewing it and saw it increased by {$450.00} since the previous XXXX month renewal I call communicated with the insurance company, XXXX XXXX. They said the reason for the increase was because of credit report. I told XXXX XXXX my credit had not changed except that I got a home mortgage and I had great credit history and score, otherwise I could have not gotten a large home loan. I could not review my credit history online. I have a very good job, have never not paid my insurance policy premium. If getting a mortgage loan has given me a bad credit score then some it bad wrong with this system and needs to be eliminated. 
",,LexisNexis,TN,376XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,No,1297850
03/24/2015,Debt collection,Payday loan,False statements or representation,Impersonated an attorney or official,"A man named XXXX said that he was a legal courier for XXXX and XXXX XXXX and he was going to attempt to deliver legal papers to my door and place of employment he left me a number to call to stop this effort XXXX when I called that number I spoke to a man name was undisclosed he had the last XXXX of my social security number he did not read me the mini Miranda when I asked him if the call was recorded he said we do not record our calls mop also informed me that I am not being sued and his company 's name is ADR processing I told him that I will not be paying this debt because I have not had any contact via mail and to many scam agencies out there 
",Company believes the complaint is the result of a misunderstanding,NAM National Arbitration and Mediation,KS,660XX,,Consent provided,Web,04/22/2015,Closed with explanation,Yes,No,1297507
03/19/2015,Credit card,,Late fee,,"I opened a credit card account with Macys in XX/XX/XXXX. The sales associate put my old mailing address from my license which I did not notice at that time because he did not ask this question of my current mailing address. I wait for my card to arrive in the mail for a month but I do n't get one. So I decided to give a call to their customer service number. I mentioned to the representative that I do n't have the card with me, but I like to make the payment and I confirmed my identity as was asked by the representative. she insisted that she ca n't take the payment till I have the card with me, so I reasoned that since I do n't have the card and I do n't know my payment due date, I will be late on making payment and then you guys will charge me late fee. she was not willing to tell me my due date, but agreed to take the payment after talking to some other person. after while she says the payment processing system is down and I should call back to make the payment. I call back in a couple of days again to make the payment and I am told that it is late now. I told them that the other day another representative was n't willing to take my payment and was n't willing to tell my due date, so how can I make the payment on time? After another month, I call back to make another payment and I repeat the same thing that I still have not received my card yet, but would like to make a payment and not sure if I am late on making payment. This time the representative tells me that I have missed the due date. She offers to verify my mailing address and then I tell her if my old address is on record. she tells me that this is the case of old address on record. she tells me that she will go ahead and update mailing address and send me a new card to that address and also wave the late fee because it was n't my fault. She told me not to worry about late fee being charged. I receive my card this month and I log into my account to find out that I am charged late fee in the last two months, so I decide to give them call again. This time the representative tells me that what do I want him to do even after explaining all the situation. when I ask him to reimburse my late fees because it was not my fault and I did my part to reach out every time. he says everything is being documented, but he can only reimburse {$18.00}. I said how is that possible since I was not at fault and I was assured of not being charged late fee. And when I tried to make the payment on time, the representative tells that their system is down. so I feel that they are using the deceptive practices of charging customers late fees under the pretext wrong policy of not sharing the due date even after verifying their identity and not taking the payment before due date so they can put the blame on the customers after the due date is passed. I am sure I will be vindicated if their recorded calls record is asked for as they will not share that with me. All I asking for is to wave those late fees as I was not at fault at all. Please guide me for the right remedy for this problem. 
",Company chooses not to provide a public response,Citibank,WA,986XX,,Consent provided,Web,03/19/2015,Closed with monetary relief,Yes,Yes,1290514
03/19/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"XXXX has claimed I owe them {$27.00} for XXXX years despite the PROOF of PAYMENT I sent them : canceled check and their ownPAID INVOICE for {$27.00}! 
They continue to insist I owe them and collection agencies are after me. 
How can I stop this harassment for a bill I already paid four years ago? 
",,"Diversified Consultants, Inc.",NY,121XX,Older American,Consent provided,Web,03/19/2015,Closed with explanation,Yes,No,1290516
03/24/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"I was emailed that my online account had been suspended. It stated my account password had been entered XXXX times. Well ... ... .I have not tried to get into my account for weeks. I tried to call Wells Fargo and the kept transferring me and repeatedly asked me for my information. They would not transfer me to the fraud department. I am a XXXX veteran with a XXXX and they would not help me. I do n't want some XXXX to access my equity in my home or open new debt. So I want to know what happened and what they are going to do but obviously they are not going to do anything I wish they did n't buy my mortgage!!!! i certainly would never do business with Wells Fargo in the future!!! 
",,Wells Fargo & Company,MT,598XX,,Consent provided,Web,03/24/2015,Closed with non-monetary relief,Yes,No,1297874
03/19/2015,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,"XXXX was submitted XX/XX/XXXX. At the time I submitted this complaint, I had dealt with Rushmore Mortgage directly endeavoring to get them to stop the continuous daily calls I was receiving trying to collect on a mortgage for which I was not responsible due to bankruptcy. They denied having knowledge of the bankruptcy, even though I had spoken with them about it repeatedly and had written them repeatedly referencing the bankruptcy requesting them to cease the pursuit, they continued to do so. When they were unable to trick me into paying, force me into paying in retaliation they placed reported to my credit bureaus a past due mortgage amount that had been discharged in Federal Court. On XX/XX/XXXX Rushmore responded the referenced complaint indicating that they would remove the reporting from my bureau, yet it is still there now in XX/XX/XXXX. I would like them to remove it immediately and send me a letter indicating that it should not have been there in the first place and they are going to remove it from all my bureaus. Rushmore, when speaking to me, represented themselves as the new note holder, but when CFPB was involved, they identified themselves as the servicing agency for XXXX XXXX XXXX. This credit bullying and racial discrimination practices is damaging to anyone who is exposed to these tactics and this needs to stop. Them denying their intent and then walking away with no penalties of any kind is one of the reasons it continues. Please assist me in procuring the resolution once and for all. 
",,Rushmore Loan Management Services LLC,CA,956XX,Older American,Consent provided,Web,03/19/2015,Closed with explanation,Yes,Yes,1292137
03/24/2015,Payday loan,Payday loan,Received a loan I didn't apply for,Received a loan I didn't apply for,"I received a call from a woman stating that they have a "" pending claim '' against my XXXX checking account ; some sort of "" bad checking ''. No name of the lender or anything is given. She states that I have some charges pending against me as to what they do not give. These people have called my dad as well as my sister under the business name of Integrated Services at XXXX. I looked up this number on another web source and other consumers have had the same issues with these people ; they harass, can be rude, and have multiple numbers in which they have used. I believe they are attempting to fraudulently collect monies from me and/or my bank through old payday loan information they obtained. 
",Company believes it acted appropriately as authorized by contract or law,Integrated Recovery Services,CA,957XX,,Consent provided,Web,03/30/2015,Closed with explanation,No,Yes,1299120
03/19/2015,Mortgage,Reverse mortgage,"Application, originator, mortgage broker",,"I am very disappointed that the CFPB did not help to resolve this fraudulant loan. # XXXX between XXXX XXXX and XXXX, FF ( AKA ) One West. Case # XXXX with CFPB. 
",,CIT Bank National Association,NJ,080XX,Older American,Consent provided,Web,03/19/2015,Closed with explanation,Yes,No,1290543
